Algorithm,ArraySize,ArrayType,NoOfRuns,AvgRuntimeNs,MinRuntimeNs,MaxRuntimeNs
BubbleSort,500,RANDOM,12,52219319,24212392,136806249
InsertionSort,500,RANDOM,12,43736432,32308969,116027056
SelectionSort,500,RANDOM,12,43723147,32889058,120578914
QuickSort,500,RANDOM,12,8294921,3394000,16204602
MergeSort,500,RANDOM,12,2383060,896416,9621948
HeapSort,500,RANDOM,12,8016994,4253978,17106670
BubbleSort,500,RANDOM,25,27650944,23937990,42933214
InsertionSort,500,RANDOM,25,18052717,16983554,20796927
SelectionSort,500,RANDOM,25,17260171,16470632,20661343
QuickSort,500,RANDOM,25,1210847,925895,1993999
MergeSort,500,RANDOM,25,291163,238012,456792
HeapSort,500,RANDOM,25,1458081,1159392,2475532
BubbleSort,800,RANDOM,25,110994735,101276644,190306249
InsertionSort,800,RANDOM,25,69233219,67670927,76163843
SelectionSort,800,RANDOM,25,69452159,67361075,74402748
QuickSort,800,RANDOM,25,3223041,2765135,4259811
MergeSort,800,RANDOM,25,540297,477702,1402341
HeapSort,800,RANDOM,25,3506543,3084554,4570979
BubbleSort,55,RANDOM,25,66230,37968,120922
InsertionSort,55,RANDOM,25,44290,29374,164317
SelectionSort,55,RANDOM,25,58957,23755,92478
QuickSort,55,RANDOM,25,22991,17507,39384
MergeSort,55,RANDOM,25,4904,3482,29423
HeapSort,55,RANDOM,25,21108,16593,29746
BubbleSort,55,RANDOM,100,69381,52944,165323
InsertionSort,55,RANDOM,100,41821,35238,58941
SelectionSort,55,RANDOM,100,40764,29859,263381
QuickSort,55,RANDOM,100,15528,9476,82153
MergeSort,55,RANDOM,100,6392,4460,15088
HeapSort,55,RANDOM,100,17463,11761,38765
