Algorithm      ArraySize       ArrayType      RunNumber    RuntimeNs      Comparisons       Interchanges
SelectionSort         100            SORTED           1          158310            4950               0
SelectionSort         100            SORTED           2          202723            4950               0
SelectionSort         100            SORTED           3          235838            4950               0
SUMMARY: 1-AvgRunTime: 198957   2-MaxRunTime: 235838   3-MinRunTime: 158310
Algorithm      ArraySize       ArrayType      RunNumber    RuntimeNs      Comparisons       Interchanges
BubbleSort         100            RANDOM           1          976935            4950               2211
BubbleSort         100            RANDOM           2          764825            4950               2211
BubbleSort         100            RANDOM           3          768116            4950               2211
SUMMARY: 1-AvgRunTime: 836625   2-MaxRunTime: 976935   3-MinRunTime: 764825
Algorithm      ArraySize       ArrayType      RunNumber    RuntimeNs      Comparisons       Interchanges
MergeSort         100            RANDOM           1          404977            187               201
MergeSort         100            RANDOM           2          469432            187               201
MergeSort         100            RANDOM           3          371314            187               201
SUMMARY: 1-AvgRunTime: 415241   2-MaxRunTime: 469432   3-MinRunTime: 371314
Algorithm      ArraySize       ArrayType      RunNumber    RuntimeNs      Comparisons       Interchanges
SelectionSort         100            SORTED           1          157912            4950               0
SelectionSort         100            SORTED           2          142431            4950               0
SelectionSort         100            SORTED           3          140897            4950               0
SUMMARY: 1-AvgRunTime: 147080   2-MaxRunTime: 157912   3-MinRunTime: 140897
